,setup,model,mse,predictors,correlation,sens,spec,prec,params
2527,ARHGAP11A_prom,enet,0.89991080585965955,8,,,,,"alpha=0.04, l1_ratio=0.99"
2528,ARHGAP11A_prom,grace,0.90187468435585416,468,,,,,"lambda 1=10.0, lambda 2=0.01"
2529,ARHGAP11A_prom,lasso,0.90078358115668133,8,,,,,alpha=0.04
126,ARHGEF12_body,agrace,0.21325519690762143,479,,,,,"lambda 1=10.0, lambda 2=0.01"
125,ARHGEF12_body,composite,0.21247887177903749,3,,,,,"Vote threshold=0.5, Zero threshold=0.0001"
127,ARHGEF12_body,enet,0.21395390643065895,4,,,,,"alpha=0.04, l1_ratio=0.99"
128,ARHGEF12_body,grace,0.21325520131647319,479,,,,,"lambda 1=10.0, lambda 2=0.01"
129,ARHGEF12_body,lasso,0.21399359596153095,3,,,,,alpha=0.04
2531,ARHGEF12_prom,agrace,0.22629337620334156,468,,,,,"lambda 1=10.0, lambda 2=0.01"
2530,ARHGEF12_prom,composite,0.23521792063158412,4,,,,,"Vote threshold=0.5, Zero threshold=0.0001"
2532,ARHGEF12_prom,enet,0.22509163847706104,4,,,,,"alpha=0.04, l1_ratio=0.99"
2533,ARHGEF12_prom,grace,0.22629337450377776,468,,,,,"lambda 1=10.0, lambda 2=0.01"
2534,ARHGEF12_prom,lasso,0.22504211650273101,4,,,,,alpha=0.04
131,ARHGEF16_body,agrace,0.51863694760260437,479,,,,,"lambda 1=10.0, lambda 2=0.01"
130,ARHGEF16_body,composite,0.52232061210812131,6,,,,,"Vote threshold=0.5, Zero threshold=0.0001"
132,ARHGEF16_body,enet,0.52004592800230853,4,,,,,"alpha=0.04, l1_ratio=0.99"
133,ARHGEF16_body,grace,0.51863691811195733,479,,,,,"lambda 1=10.0, lambda 2=0.01"
134,ARHGEF16_body,lasso,0.52082596988640961,4,,,,,alpha=0.04
2536,ARHGEF16_prom,agrace,0.50667482733652303,468,,,,,"lambda 1=10.0, lambda 2=0.01"
2535,ARHGEF16_prom,composite,0.50585234075624097,1,,,,,"Vote threshold=0.5, Zero threshold=0.0001"
2537,ARHGEF16_prom,enet,0.50762239642392637,1,,,,,"alpha=0.04, l1_ratio=0.99"
2538,ARHGEF16_prom,grace,0.50667482608825209,468,,,,,"lambda 1=10.0, lambda 2=0.01"
2539,ARHGEF16_prom,lasso,0.50763914842791025,1,,,,,alpha=0.04
136,ARID4B_body,agrace,0.17526093304036891,479,,,,,"lambda 1=10.0, lambda 2=0.01"
135,ARID4B_body,composite,0.18226402336800879,5,,,,,"Vote threshold=0.5, Zero threshold=0.0001"
137,ARID4B_body,enet,0.17557581774507128,5,,,,,"alpha=0.04, l1_ratio=0.99"
138,ARID4B_body,grace,0.17526073954082808,479,,,,,"lambda 1=10.0, lambda 2=0.01"
139,ARID4B_body,lasso,0.17542828029621857,4,,,,,alpha=0.04
141,ART1_body,agrace,0.18933697337347452,479,,,,,"lambda 1=10.0, lambda 2=0.01"
140,ART1_body,composite,0.17846386846569859,2,,,,,"Vote threshold=0.5, Zero threshold=0.0001"
142,ART1_body,enet,0.19271388976020465,2,,,,,"alpha=0.04, l1_ratio=0.99"
143,ART1_body,grace,0.18933693942699961,479,,,,,"lambda 1=10.0, lambda 2=0.01"
144,ART1_body,lasso,0.19290766946178287,2,,,,,alpha=0.04
2541,ART1_prom,agrace,0.19042897603665243,468,,,,,"lambda 1=10.0, lambda 2=0.01"
